,,,,,,,PROBLEMS (0-5),,,,,,,,USE CASE (0-1),,,,,SOIL TAGS (1-3),,,,,,Seasonal Relevance (0-3),,,,Application Method (0-1),,,,,Compatibility (0-1),,,,,,,,,,,,GOALS - LAWNS,,,,,GOALS - GARDENS,,,,,GOALS - FARMS,,,,
Garden Soil Enhancer Bundle (Fulvic Acid + Stimulizer + Quantum H),1318,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/1318_1319.png?20250211124854"" alt=""Garden Soil Enhancer Bundle"" style=""width: 60%; border-radius: 8px;"" />
    
    <a href=""https://www.plantdoctor.com.au/garden-soil-enhancer-bundle"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Garden Soil Enhancer Bundle
    </a>
    
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Complete soil health system combining fulvic acid, humic acid, and bio-stimulants to unlock nutrients, improve soil biology, and restore long-term garden fertility.
    </p>
</div>",Soil regeneration bundle (liquid humic + fulvic + biostimulant system),Soil restoration; nutrient unlocking; root stimulation; microbial activation,Full soil system reset kit (entry-level ecosystem builder),10,4,5,4,5,5,5,3,5,0,1,1,1,1,5,5,3,5,5,4,3,3,3,3,1,1,0,1,1,1,0,1,1,0,1,"Complete soil restoration bundle that unlocks nutrients, rebuilds soil biology, and improves root growth and fertiliser efficiency","Many soils fail not due to lack of fertiliser, but because of poor soil biology, compaction, nutrient lockout, and low organic function, meaning plants cannot access or use available nutrients effectively","This bundle combines fulvic acid (rapid nutrient transport and chelation), Quantum H humic acid (soil detoxification, structure improvement, and nutrient retention), and Stimulizer (biological activation and root stimulation). Together, they restore soil function, improve microbial activity, enhance nutrient cycling, and dramatically increase fertiliser efficiency, creating a living soil system capable of sustaining strong, consistent plant growth",,,,2,2,2,2,2,5,5,5,4,5,5,5,5,4,5
Gardener’s Choice Bundle (Seaweed Secrets + Activ8Mate + Quantum H + Nature’s Soil Wetter + Stimulizer),1176,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/1176_City.jpg?20230704151209"" alt=""Gardener's Choice Bundle"" style=""width: 60%; border-radius: 8px;"" />
    
    <a href=""https://www.plantdoctor.com.au/gardeners-choice-bundle"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Gardener’s Choice Bundle
    </a>
    
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      All-in-one soil and plant health system combining liquid bio-stimulants, wetting agents, and soil conditioners to improve nutrient uptake, boost resilience, and restore long-term soil fertility for lawns and gardens.
    </p>
</div>",Complete garden soil; plant system bundle (multi-input biological + soil restoration kit),Full soil regeneration; nutrient unlocking; stress protection; plant performance optimisation,Core ecosystem starter system (advanced “all-in-one garden operating system”),10,5,5,5,5,5,5,4,5,0,1,1,1,1,5,5,5,5,5,5,3,3,3,3,1,1,0,1,1,0,0,1,1,0,1,"Complete soil and plant system bundle that restores soil health, unlocks nutrients, improves water movement, and boosts overall plant performance","Most garden issues are not caused by a lack of fertiliser, but by multiple hidden soil limitations including compaction, poor microbial activity, water repellency, and nutrient lockout, which prevent plants from accessing available nutrients","This bundle combines five synergistic biological and soil-conditioning systems that work across different soil and plant functions: seaweed for stress resilience, humic and fulvic systems for nutrient unlocking, wetting agents for water infiltration, and biostimulants for uptake acceleration. Together, they restore soil biology, improve nutrient cycling, increase fertiliser efficiency, and create a self-sustaining soil ecosystem that supports long-term plant health and growth consistency",,,,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5
Just Been Laid Turf Starter Pack (Soil Conditioner + Seaweed + Inoculant + Wetting Agent System),1243,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/1243_1.jpg?20230710143955"" alt=""Just Been Laid Turf Starter Pack"" style=""width: 60%; border-radius: 8px;"" />
    
    <a href=""https://www.plantdoctor.com.au/just-been-laid-turf-starter-pack"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Just Been Laid Turf Starter Pack
    </a>
    
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Complete turf establishment system designed to reduce transplant shock, improve water penetration, and support rapid root development for newly laid lawns.
    </p>
</div>",Turf establishment bundle (new lawn root establishment + soil conditioning system),Root establishment; transplant shock reduction; water infiltration; soil biology activation,Turf foundation system (critical “day 0–30 lawn survival + establishment stack”),10,3,5,4,5,4,5,3,5,1,0,0,0,0,5,5,3,4,5,5,3,3,3,2,1,1,0,1,1,0,1,1,1,0,2,"Complete turf establishment system that reduces transplant shock, improves water penetration, and accelerates root development in newly laid lawns","Newly laid turf often fails not due to lack of fertiliser, but because roots are not yet established, soil is water-repellent or compacted, and plants are under severe transplant shock, limiting nutrient uptake and survival","This bundle combines seaweed biostimulants to reduce transplant shock and stimulate root hormones, microbial inoculants to kickstart soil biology, fertiliser inputs to support early growth, and wetting agents to ensure water penetrates directly into the root zone. Together, these components create optimal conditions for rapid root establishment, improved soil contact, and faster turf integration into the underlying soil system",,,,4,5,5,4,5,2,2,2,2,2,4,5,5,4,5
Lawn Lovers Pro Pack (Seaweed Secrets + Activ8EXTRA + Quantum H + Liquid Iron + Stimulizer),1231,"<div style=""border: 1px solid #ccc; padding: 20px; width: 200px; max-width: 100%; margin-bottom: 20px; box-sizing: border-box;"">
    <img alt=""Lawn Lovers Pro Pack"" src=""https://www.plantdoctor.com.au/assets/full/1231_1.jpg?20230710141337"" style=""width: 100%; height: auto; border-radius: 8px;"" />
    <div style=""font-size: 18px; font-weight: bold; margin-top: 10px;"">
      <a href=""https://www.plantdoctor.com.au/lawn-lovers-pro-pack"" style=""text-decoration: none; color: #007bff; font-weight: bold;"" target=""_blank"">Lawn Lovers Pro Pack</a>
    </div>
    <div style=""font-size: 14px; color: #555;"">A complete lawn care solution for year-round health and vitality.</div>
  </div>",Complete lawn care system bundle (nutrition + soil + colour + biology + uptake stack),Full lawn transformation (colour + growth + soil health + stress resistance + nutrient efficiency),Advanced turf performance system (all-in-one lawn optimisation + renovation kit),10,5,5,5,5,5,5,4,5,1,0,0,0,0,5,5,5,5,5,5,3,3,3,3,1,1,0,1,1,0,0,1,1,0,2,"Complete lawn system that improves colour, density, soil health, and root strength while fixing nutrient and water limitations","Most lawn issues are caused by multiple overlapping limitations including poor soil structure, nutrient lockout, weak microbial activity, and micronutrient deficiencies, meaning single fertilisers alone cannot fully restore performance","This bundle combines nitrogen-based fertiliser inputs (Activ8EXTRA), iron supplementation for chlorophyll production (Liquid Iron), humic-based soil conditioning (Quantum H), seaweed biostimulation for stress resilience (Seaweed Secrets), and fulvic-driven uptake acceleration (Stimulizer). Together, these inputs restore soil function, increase nutrient availability, improve water efficiency, and dramatically enhance turf colour, density, and resilience",,,,5,5,5,4,5,2,2,2,2,2,5,5,5,5,5
Lawn Lovers Starter Bundle (Seaweed Secrets + Activ8Extra + Nature’s Soil Wetter),1235,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/1235_1.jpg?20230710142004"" alt=""Lawn Lovers Starter Bundle"" style=""width: 60%; border-radius: 8px;"" />
    
    <a href=""https://www.plantdoctor.com.au/lawn-lovers-starter-bundle"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Lawn Lovers Starter Bundle
    </a>
    
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      All-in-one lawn care system combining fertiliser, biostimulants, and soil conditioners to improve root development, enhance nutrient uptake, and build long-term soil health for stronger, greener turf.
    </p>
</div>",Lawn starter system bundle (soil health + nutrition + water infiltration),Lawn maintenance; soil conditioning; stress reduction; nutrient delivery,Entry-level turf care system (foundation lawn health + maintenance bundle),9,4,4,3,5,3,4,3,4,1,0,0,0,0,5,4,3,3,4,5,3,3,3,2,1,1,0,1,1,0,1,1,1,0,1,"Simple lawn care bundle that improves soil health, boosts nutrient uptake, and helps lawns stay greener, stronger, and more resilient year-round","Many lawns struggle due to poor soil moisture retention, inconsistent feeding, and weak soil biology, leading to patchy growth, dull colour, and slow recovery after stress","This bundle combines seaweed biostimulants to improve stress tolerance and root development, balanced fertiliser inputs to support steady growth, and wetting agents to ensure water penetrates effectively into the root zone. Together, they improve soil function, enhance nutrient availability, and create a more resilient lawn system with consistent performance across seasons",,,,5,5,5,4,5,2,2,2,2,2,5,5,5,5,5
Pro Soil Enhancer Bundle (Activ8Mate + Quantum H + Stimulizer),1247,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/1247_city.jpg?20230710145622"" alt=""Pro Soil Enhancer Bundle"" style=""width: 60%; border-radius: 8px;"" />
    
    <a href=""https://www.plantdoctor.com.au/pro-soil-enhancer-bundle"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Pro Soil Enhancer Bundle
    </a>
    
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Advanced soil restoration bundle combining humic acids, bio-stimulants, and microbial enhancers to detoxify soil, improve nutrient efficiency, and drive stronger root and plant growth across lawns, gardens, and farms.
    </p>
</div>",Soil regeneration bundle (nutrient cycling + humic system + biostimulant stack),Soil detoxification; nutrient availability improvement; microbial activation; root stimulation,Core soil rebuilding system (mid-tier “full soil function restoration” kit),10,4,5,4,5,5,4,3,5,0,1,1,1,1,5,5,4,4,5,4,3,3,3,3,1,1,0,1,1,1,0,1,1,0,1,"Complete soil improvement system that restores nutrient availability, boosts microbial activity, and improves root growth and fertiliser efficiency","Most soil problems are not caused by lack of fertiliser, but by poor soil structure, low microbial activity, and nutrient lockout, which prevent plants from accessing and using available nutrients effectively","This bundle combines humic acid (Quantum H) to improve soil structure and nutrient retention, Activ8Mate to supply balanced nutrition and feed soil biology, and Stimulizer to accelerate nutrient uptake and plant response. Together, they restore soil function, increase microbial activity, improve nutrient cycling, and significantly enhance plant growth consistency and resilience across a wide range of soil conditions",,,,2,2,2,2,2,4,5,5,5,5,5,5,5,4,5
Value Combo Bundle (Champion Green Grade Fertiliser + Nature’s Soil Wetter),1239,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/1239.jpg?20230704155209"" alt=""Value Combo Bundle"" style=""width: 60%; border-radius: 8px;"" />
    
    <a href=""https://www.plantdoctor.com.au/value-combo"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Value Combo
    </a>
    
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Easy all-in-one lawn care bundle combining a premium slow-release fertiliser and natural soil wetter to deliver greener grass, stronger roots, and improved water efficiency across all lawn types.
    </p>
</div>",Entry-level lawn nutrition; soil moisture bundle (basic feeding + water efficiency system),Lawn greening; root support; water penetration; nutrient efficiency improvement,Budget-friendly foundation lawn system (simple “feed + fix dry soil” combo),9,4,4,3,5,3,4,2,3,1,1,0,1,0,5,4,3,3,4,5,3,3,3,2,0,1,1,0,1,1,1,0,1,0,1,"Simple lawn care bundle that feeds grass and improves water penetration for greener, healthier lawns with minimal effort","Many lawns struggle due to basic nutrient deficiency and poor water absorption, leading to dull colour, patchiness, and dry soil conditions that limit growth and recovery","This bundle combines a balanced NPK fertiliser that supports steady grass growth and greening with a wetting agent that improves water infiltration and reduces dry patch formation. Together, they enhance nutrient availability, improve soil moisture efficiency, and support consistent lawn health without requiring complex soil management programs",,,,5,4,5,4,5,2,2,2,2,2,4,5,5,4,5
2L Hose-On Bundle (Lawn Envy + MaxGreen Lawn System),1253,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/1253.jpg?20230718125606"" alt=""2L Hose-On Bundle Lawn Envy MaxGreen"" style=""width: 60%; border-radius: 8px;"" />
    
    <a href=""https://www.plantdoctor.com.au/2l-hose-on-bundle-lawn-envy-max-green"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      2L Hose-On Bundle – Lawn Envy & MaxGreen
    </a>
    
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      High-performance lawn care bundle combining Lawn Envy and MaxGreen to deliver rapid green-up, improved nutrient uptake, and balanced growth for healthier, more resilient turf year-round.
    </p>
</div>",Liquid lawn performance bundle (green-up + balanced nutrition + iron correction system),Rapid greening; nutrient delivery; iron correction; overall turf health improvement,Fast-response lawn enhancement system (visual results + maintenance boost stack),10,5,5,2,3,3,4,2,3,1,0,0,0,0,4,3,2,3,3,3,3,3,3,2,1,1,0,0,0,1,1,0,1,0,2,"Fast-acting lawn bundle that delivers deep green colour, improves growth, and quickly corrects nutrient deficiencies for visible results","Many lawns appear dull, patchy, or yellow due to nitrogen deficiency, iron lockout, or general nutrient imbalance, and require fast-acting inputs to restore colour and vitality","This bundle combines Lawn Envy’s balanced nutrient and soil-support system with MaxGreen’s high-availability nitrogen and iron formulation. Together they rapidly stimulate chlorophyll production, improve leaf colour, and support short-term turf growth response. The inclusion of iron and fulvic compounds enhances nutrient uptake efficiency, delivering fast visible greening while supporting overall lawn health in the short term",,,,5,5,5,4,5,2,2,2,2,2,5,5,5,5,5
Micronised Gypsum Liquid (Organic Certified Clay Buster – Calcium + Sulphur Soil Conditioner),636," <div style=""border: 1px solid #ccc; padding: 20px; width: 200px; max-width: 100%; margin-bottom: 20px; box-sizing: border-box;"">
    <img alt=""Micronised Gypsum"" src=""https://www.plantdoctor.com.au/assets/full/636_637.jpg?20211129092636"" style=""width: 100%; height: auto; border-radius: 8px;"" />
    <div style=""font-size: 18px; font-weight: bold; margin-top: 10px;"">
      <a href=""https://www.plantdoctor.com.au/Plant-Doctor-Micronised-Gypsum-Liquid-Organic-Certified"" style=""text-decoration: none; color: #007bff; font-weight: bold;"" target=""_blank"">Micronised Gypsum – Liquid Clay Buster</a>
    </div>
    <div style=""font-size: 14px; color: #555;"">Improves soil structure and provides calcium for healthier plants.</div>
  </div>",Soil structure conditioner (calcium + sulphur amendment for clay breakup + sodic soil remediation),Clay soil conditioning; improved water infiltration; calcium/sulphur replenishment; sodium displacement,Soil structure correction layer (physical soil architecture improvement system),10,1,4,5,2,3,2,2,5,1,1,0,0,1,2,5,2,3,4,1,3,3,3,2,1,1,0,1,1,1,1,1,1,1,2,"Liquid gypsum soil conditioner that breaks up clay, improves drainage, and restores calcium balance for healthier root growth and soil structure","Clay and sodic soils often become compacted and water-repellent, restricting root movement, reducing oxygen availability, and causing poor plant performance even when fertiliser is applied","Micronised gypsum supplies highly available calcium and sulphur in a fine liquid form that rapidly interacts with clay particles. Calcium replaces excess sodium and magnesium on soil exchange sites, causing clay particles to flocculate and form stable aggregates. This improves soil structure, increases pore space, enhances water infiltration, and allows roots to penetrate deeper into the soil profile, creating a healthier root environment and improving long-term plant performance",,,,2,3,3,2,4,2,5,5,3,4,3,5,4,4,5
Fulvic Acid Powder 92% Premium Concentrated Soluble (Potassium Fulvate),29814,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;""><img alt=""Fulvic Acid"" src=""https://www.plantdoctor.com.au/assets/full/29814_2.jpg"" style=""max-width: 60%; height: auto;"" />
<div style=""font-size: 18px; font-weight: bold; margin-top: 10px;""><a href=""https://www.plantdoctor.com.au/fulvic-acid-powder-92-premium-concentrated-soluble"" style=""text-decoration: none; color: #007bff; font-weight: bold;"" target=""_blank"">Fulvic Acid Powder </a></div>

<div style=""font-size: 14px; color: #555;"">This soluble Fulvic Acid Powder serves multiple purposes: as a sticker, wetter, chelator, penetrator, and turbo booster when mixed with fertilisers.</div>
</div>",Organic soil bio-stimulant (fulvic acid chelation + nutrient transport + microbial activation system),Nutrient unlocking; enhanced fertiliser efficiency; root stimulation; soil detoxification; plant uptake acceleration,Cellular-level nutrient delivery system (high-efficiency “nutrient transport engine”),10,2,5,3,3,4,2,3,5,0,1,1,1,1,5,5,2,4,5,4,3,3,3,3,1,0,0,1,1,1,1,1,1,0,1,"Highly concentrated fulvic acid that improves nutrient uptake, unlocks locked minerals, and dramatically increases fertiliser efficiency across all soil and plant systems","Many soils contain nutrients that are present but unavailable to plants due to chemical lockout, poor microbial activity, or low transport efficiency within the plant system, leading to poor growth even when fertilisers are applied","Fulvic acid acts as a natural chelating agent with extremely small molecular structure, allowing it to bind nutrients and transport them directly into plant cells. It improves cation exchange capacity, enhances microbial activity, detoxifies harmful residues, and increases the efficiency of all applied fertilisers. This results in improved nutrient uptake, stronger root development, enhanced photosynthesis, and better overall plant resilience and growth performance",,,,2,2,2,2,2,2,3,3,2,2,3,4,3,2,4
Worm Magic Casting Pellets,WMP,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/WMP.png?20260407091134"" alt=""Worm Magic Casting Pellets"" style=""width: 60%; border-radius: 8px;"" />
    <a href=""https://www.plantdoctor.com.au/worm-magic-casting-pellets"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Worm Magic Casting Pellets
    </a>
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Slow-release worm castings that rebuild soil biology, structure, and long-term fertility.
    </p>
  </div>",Organic slow-release fertiliser; soil conditioner (pelletised worm castings),Soil biology activation; organic matter; slow nutrition; structure and water holding,Soil biology + organic fertility layer (living soil builder),8,2,4,4,4,3,3,2,5,1,1,1,1,1,5,3,3,3,5,3,3,3,3,3,0,0,1,0,0,1,1,1,1,0,1,"Pelletised worm castings that rebuild living soil, hold moisture, and feed plants slowly without burn","Tired soils with low organic matter and weak biology cannot hold water or unlock nutrients, so plants stay slow even when fertiliser is applied","Worm Magic pellets deliver worm castings packed with microbes, enzymes, humic and fulvic compounds, and a gentle ~5-2-2 nutrient profile. They slowly release nutrition, add carbon, improve soil structure and water holding, and help roots access nutrients already in the soil",,Dual-use lawn and garden. Biology role; not Lawn Lovers core so seaweed stays the default biology pick.,Organic soil-life builder for depleted or sandy soils; picker product alongside seaweed,2,3,3,2,4,3,5,5,3,4,4,5,4,3,5
Worm Magic Liquid Compost Tea (Brewed from Worm Castings),WMB,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/830_831.jpg?20200710030147"" alt=""Worm Magic Liquid Compost Tea"" style=""width: 60%; border-radius: 8px;"" />
    <a href=""https://www.plantdoctor.com.au/worm-magic-brewed-from-worm-castings"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Worm Magic Liquid Compost Tea
    </a>
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Living compost tea brewed from worm castings, with humic and fulvic acids, to feed soil microbes and roots.
    </p>
  </div>",Liquid compost tea; microbial soil tonic (worm casting extract + humic/fulvic),Soil biology inoculation; root support; nutrient cycling; stress and transplant recovery,Liquid biology layer (living microbial tea),8,2,4,3,3,4,3,3,5,1,1,1,1,1,4,3,3,3,5,3,3,3,3,2,1,0,0,1,1,1,1,1,1,0,1,"Living compost tea that inoculates soil microbes, strengthens roots, and helps plants handle stress and transplanting","Soils with poor biological activity cycle nutrients slowly, so plants stay weak, transplant poorly, and do not respond well to fertiliser","Brewed from worm castings and supercharged with humic and fulvic acids, Worm Magic tea delivers bacteria, fungi, protozoa and enzymes plus a light mineral profile. Microbes unlock nutrients, improve soil function, and support roots, flowering, and recovery from stress",Contains humic and fulvic acids — do not tank-mix with iron.,Dual-use. Biology role; not core range. Treat as iron-incompatible because of humic/fulvic.,"Liquid soil-life tonic for lawns, gardens, pots, and farms; picker alternative to seaweed",2,3,4,2,4,4,5,5,4,4,4,5,3,3,4
